term	polarity
يؤسف له	neg
يضر	neg
يؤخر	neg
يوم القيامة	neg
يهدد	neg
يعوق	neg
يخلط	neg
يبالغ	neg
يؤذي	neg
تشعر بتأنيب الضمير	neg
يهوي	neg
يدين	neg
يعادي	neg
جفاف	neg
محا	neg
قانط	neg
مجفف	neg
قوض	neg
يقوض	neg
يضعف	neg
أوهام	neg
نقد	neg
جمد	neg
تورط	neg
ورط	neg
ينخدع	neg
بذيء	neg
وقح	neg
جاهل	neg
وعظ	neg
المطبات	neg
متخبط	neg
المنخفضات	neg
وضع حرج	neg
نفى من غير محاكمة	neg
انتهت	neg
موصوم	neg
الغيبة	neg
متوسط	neg
رجس	neg
قذر	neg
وسخ	neg
قذارة	neg
نجاسة	neg
وزن زائد	neg
الحكة	neg
حكة	neg
وخز الضمير	neg
متوحد	neg
عدوانية	neg
غريب	neg
تعوزه الحيوية	neg
ملتف	neg
رادع	neg
فضفاض	neg
هيجان	neg
طفح جلدي	neg
هياج	neg
النزوات	neg
بالهلوسة	neg
هلوسة	neg
بالفزع	neg
يتساقط	neg
غير كاف	neg
شاحب	neg
الساخرة	neg
رعشة	neg
طحن	neg
القمامة	neg
هراء	neg
هذيان	neg
هذياني	neg
أزيز	neg
خرب	neg
تقويض	neg
تنهار	neg
المدمر	neg
مخرب	neg
الهجومية	neg
اقتحامي	neg
هاجم	neg
الشتائم	neg
حقر	neg
الخاسرون	neg
الأستحواذ	neg
رخيص	neg
سبات	neg
رسوم	neg
مرثاة	neg
لهاث	neg
أخيرة	neg
الشائعات	neg
إشاعة	neg
ثرثار	neg
رث	neg
نكص	neg
الوخز	neg
وخز	neg
متقلب المزاج	neg
سوء المزاج	neg
أضحوكة	neg
حقد	neg
تناقص	neg
انتقص	neg
النقد الذاتي	neg
يكره	neg
الأشمئزاز	neg
مخلفات	neg
نفايات	neg
لعين	neg
فاشية	neg
تتضاءل	neg
تعصب	neg
كدح	neg
محتال	neg
جفف	neg
نسيان	neg
نزيف	neg
هبوط	neg
السم	neg
نزع السلاح	neg
عداوة	neg
نزاع	neg
نرجسية	neg
ندوب	neg
الملوثين	neg
نتوء	neg
نتن	neg
كريه الرائحة	neg
الخفقان	neg
غير مكتمل	neg
غير كامل	neg
السلبيات	neg
سلبي	neg
سلبية	neg
حارق	neg
نادم	neg
نكتة	neg
على نحو مخالف للعادة	neg
نادر	neg
غير مألوف	neg
حد غير عادي	neg
الانتهازية	neg
تأنيبي	neg
مؤنبا	neg
المغطي	neg
مضر	neg
بشكل ضار	neg
بشكل مؤلم	neg
تمحك	neg
التحدي	neg
مذل	neg
مهينة	neg
هوسي	neg
مدمر	neg
طاحنة	neg
مهزلة	neg
مربى	neg
متوعد	neg
العدواني	neg
لا يقهر	neg
المنهكة	neg
مشقوق	neg
مجزأة	neg
تضخمي	neg
المبعدة	neg
معزول	neg
أعاق	neg
عرقلت	neg
يعيق	neg
ردع	neg
نذير	neg
معوج	neg
منحرفين	neg
جانح	neg
متورم	neg
منفرجة	neg
محتضر	neg
مشحون	neg
المملون	neg
قرح	neg
مسام	neg
على نحو بغيض	neg
متمزق	neg
عدم رغبة	neg
التسويف	neg
شائك	neg
الموبوءة	neg
ملعون	neg
غير تقي	neg
ملحف	neg
مفزع	neg
متعرج	neg
محرق	neg
التهابي	neg
مواجهة	neg
الملاجيء	neg
خدعة	neg
مؤامرة	neg
متآمر	neg
مكروب	neg
مقلي	neg
مقطرة	neg
مقشر	neg
منفرا	neg
الشجار	neg
تعنت	neg
معسر	neg
معد	neg
مفرط	neg
زائد	neg
جدل	neg
مغتاب	neg
جارح	neg
مفترس	neg
فجأة	neg
ساذج	neg
مغص	neg
المتكبرة	neg
بشكل متعجرف	neg
فرط في الإعجاب بنفسه	neg
متعجرف	neg
مغبر	neg
المغالطات	neg
شائن	neg
معيب	neg
عوز	neg
معوز	neg
غير سوية	neg
معلومات خاطئة	neg
متدلى	neg
مكسور	neg
فقراء المعدمين	neg
مساوئ	neg
ضائقة	neg
للضيق	neg
سوء المعاملة	neg
مدمن	neg
المدمن	neg
معاق	neg
معاقبة	neg
مشلول	neg
معاد	neg
اربا	neg
معارضة	neg
المعارضات	neg
الاعتراضات	neg
عدائي	neg
المحاصرين	neg
غث	neg
خاسر	neg
خادع	neg
خفاش	neg
مثير للضحك	neg
مضحكة	neg
ضايق	neg
مضايقة	neg
مصيري	neg
مصيرية	neg
محنة	neg
مقطر	neg
مصادرة	neg
العصابي	neg
محموم	neg
مشؤوم	neg
مشوهة	neg
منفوخ	neg
معطوب	neg
الدجال	neg
مشروعية	neg
مسنن	neg
المشردين	neg
دهني	neg
موسوس	neg
مشاكل	neg
يتدخل	neg
مماحكة	neg
جدال	neg
مشاحنة	neg
مهزار	neg
مطول	neg
مسروق	neg
مصاب بداء الكلب	neg
مبذر	neg
مهروس	neg
ساخر	neg
ساخرا	neg
غير مسؤول	neg
المستقرة	neg
متسول	neg
متستر	neg
مخفف	neg
طاغية	neg
مسبل	neg
قضايا	neg
قضية	neg
موضوع	neg
منمق	neg
مزمن	neg
مربك	neg
مقلق	neg
مغيظ	neg
مشدد	neg
محتقر	neg
محتقن	neg
نوبة غضب	neg
الأكثر رعبا	neg
عليل	neg
غير صحي	neg
معتل	neg
مرهوب	neg
منهك	neg
غير مقبول	neg
خائفة	neg
ضنى	neg
توعك	neg
المحموم	neg
متزعزع	neg
المارقة	neg
مرائي	neg
مراوغ	neg
مراقبة	neg
سيل	neg
مرارة	neg
ذهول	neg
متحير	neg
مذهول	neg
متهما	neg
مذموم	neg
مجزرة	neg
مذهل	neg
غير البناء	neg
الفقيرة	neg
محروم	neg
متعمد	neg
محرض على	neg
متملق	neg
مقاومة	neg
مفجع	neg
المفزع	neg
المخفض	neg
مخصي	neg
مخز	neg
مخزية	neg
بطريقة مخزية	neg
متناقض	neg
انتهاك	neg
الخارق للقانون	neg
المخالف	neg
غير منطقي	neg
خطورة	neg
المخادعون	neg
مخادع	neg
كربي	neg
محمومة	neg
محفوف بالمخاطر	neg
ممنوع	neg
غير شرعي	neg
بشكل مثير للشفقة	neg
مثير للشفقة	neg
مقيد	neg
لا مفر منه	neg
مزدر	neg
محتشم	neg
مستعرة	neg
الأكثر فقرا	neg
المثبطة	neg
محبط	neg
مستحيل	neg
حصار	neg
المحاصر	neg
غير محددة	neg
مسعور	neg
المخبول	neg
مجمع	neg
معقد	neg
معرق	neg
المذابح	neg
داحس	neg
سفاح	neg
عديم الضمير	neg
غير مؤهل	neg
الموت جوعا	neg
مغامرة	neg
متنازع فيه	neg
استفزازي	neg
غوغائي	neg
مهددا	neg
بربري	neg
متواني	neg
ثقيل	neg
متهور	neg
مندفع	neg
متنافر	neg
غير لائق	neg
متمرد	neg
متعكز	neg
المتكررة	neg
متغطرس	neg
غير مستقر	neg
غير مستقرة	neg
متقلب	neg
ذو وجهين	neg
مفكك	neg
متفرقات	neg
متقطع	neg
المشتعلة	neg
فاسد	neg
الغائب	neg
غير متواضع	neg
المتعصبين	neg
متعصب	neg
متعذر إصلاحه	neg
لا يمكن تميزه	neg
لا يصفح عنه	neg
متعذر تحديده	neg
المتعة	neg
مضجر	neg
مزعج	neg
مرهقة	neg
بشكل متناقض	neg
متضارب	neg
مدعي التهذيب	neg
متشرد	neg
المتشرد	neg
متورط	neg
طفيلي	neg
متأخر	neg
منبوذ	neg
شخص منبوذ	neg
منبوذة	neg
مترددة	neg
غير حاسم	neg
مترجرج	neg
متذمر	neg
دنس	neg
فاجر	neg
متطفل	neg
آيل للسقوط	neg
ضجر	neg
خيب	neg
من طرف واحد	neg
متحذلق	neg
رجعي	neg
متحيز	neg
متجهم	neg
خانق	neg
خانقة	neg
متجعد	neg
غير حساس	neg
متبجح	neg
معذب	neg
نادم جدا	neg
مهلك	neg
مبهرج	neg
تفوح منه رائحة العرق	neg
مبلغ زهيد	neg
ملطخ	neg
كارهي	neg
المنكوبة	neg
التهويل	neg
مبالغ فيها	neg
اكتراث	neg
بريك	neg
فاجع	neg
مأزق	neg
صدي	neg
كدر	neg
حادة	neg
مآسي	neg
عابث	neg
خليع	neg
تنقضي	neg
احتضر	neg
منتفخ	neg
ساقطا	neg
تقريع	neg
تأنيب	neg
أخطأ باللفظ	neg
عبث	neg
العبث	neg
صفعة	neg
لدغة	neg
حدود	neg
محدود	neg
وصم	neg
تابع	neg
لا يوصف	neg
لا يلين	neg
لا يقارن	neg
غير وارد	neg
عديم الرحمة	neg
لا يطاق	neg
لا يصدق	neg
فوضوية	neg
عدم إكتراث	neg
غير مبرر	neg
لا إرادي	neg
لا إرادية	neg
لا مبرر له	neg
اللااحتمالية	neg
متشائم	neg
كئيب	neg
خبيث	neg
تآمري	neg
الأكشاك	neg
كشك	neg
كهف	neg
كليشية	neg
تماما	neg
مواجهة حاسمة	neg
بليد	neg
كسول	neg
نوامي	neg
البطالة	neg
إهمال	neg
مشمئز	neg
يضايق	neg
غير جذاب	neg
مقيتة	neg
كرها	neg
أبغض	neg
كراهية	neg
الاحقاد	neg
اختلق	neg
افترى	neg
زيف	neg
كذوب	neg
مزور	neg
رضوض	neg
مما ازعج	neg
سكير	neg
مبالغ فيه	neg
كتوم	neg
ساحق	neg
بغطرسة	neg
غطرسة	neg
قمعي	neg
كآبة	neg
إجمالي	neg
جاحد	neg
كافر	neg
وثني	neg
كاره	neg
المأساوية	neg
كارثية	neg
الكارثية	neg
جائحة	neg
كارثة	neg
كارثي	neg
الكوارث	neg
متصنع	neg
المضللة	neg
مضلل	neg
تقيؤ	neg
قيء	neg
قاس	neg
أذعن	neg
القواد	neg
القوادة	neg
القوادون	neg
سلب	neg
قهر	neg
قمع	neg
اليأس	neg
بيأس	neg
يأس	neg
قنبلة	neg
الأخاديد	neg
مزراب	neg
الكبح	neg
قمامة	neg
الأوساخ	neg
صموت	neg
نافذ الصبر	neg
غير حاذق	neg
ينتقص	neg
بعصبية	neg
عصبي	neg
القلق	neg
ضيق الصدر	neg
منزعج	neg
ندرة	neg
بشكل سطحي	neg
انقلابات	neg
قلب	neg
مقلاة	neg
خالية	neg
بتر	neg
قاطع بالكلام	neg
وخزة	neg
يموت	neg
قصير الأجل	neg
مقتضب	neg
قصير النظر	neg
قضيب	neg
خردة	neg
تقشر	neg
مقطع	neg
قسري	neg
قساوة	neg
عدم الرحمة	neg
تصلب	neg
صرير	neg
اشمئزاز	neg
تقزز	neg
قرف	neg
الديون	neg
فاسدا	neg
قديمة	neg
عتيق	neg
التشظي	neg
ضحى	neg
ذبح	neg
اغتيال	neg
قتال	neg
مميت	neg
فظيع	neg
بشكل مقرف	neg
قبل الأوان	neg
قباقيب	neg
قبقاب	neg
مسخ	neg
بتعصب	neg
يائس	neg
غور	neg
قاطعه	neg
لا رجعة فيه	neg
لصوص	neg
ينفر	neg
غير هام	neg
القاتل	neg
تقيأ	neg
فيروس	neg
تفجر	neg
فورة	neg
الاضمحلال	neg
فكك	neg
مغالطة	neg
سوء فهم	neg
تفككت	neg
فقير	neg
بائس	neg
محتاج	neg
معدم	neg
مفلس	neg
الثكل	neg
ثكل	neg
فقد توازنه	neg
تثاءب	neg
عمل بغيض	neg
مخيف	neg
بشكل مرعب	neg
مرعب	neg
بطريقة غير مؤدبة	neg
فضولي	neg
سم	neg
شر	neg
أخزى	neg
زمرة	neg
تمييز	neg
شل	neg
فشل	neg
العجز	neg
قصور	neg
رشوة	neg
عفن	neg
هلع	neg
يروع	neg
خيال	neg
فراغ	neg
يفر	neg
فرار جماعي	neg
مفاجئ	neg
الآفات	neg
بري	neg
ساوم	neg
ميؤوس	neg
المشهر	neg
فاضحة	neg
فاشي	neg
غير بارع	neg
غير أخلاقي	neg
لا اخلاقي	neg
المنحرفة	neg
منحرف	neg
لا معنى له	neg
مقفر	neg
هارب	neg
مأساة	neg
مريب	neg
حسدا	neg
غير ودي	neg
غير منتظم	neg
غير كفؤ	neg
غير جدير بالثقة	neg
غير مؤكدة	neg
سلبيات	neg
غير مرغوب فيه	neg
غير مؤات	neg
غير مهم	neg
غير مؤدب	neg
غير محتشمة	neg
ممزق	neg
اللا عقلانيون	neg
اللاعقلانية	neg
لاعقلانية	neg
الظالمين	neg
متعارض	neg
غير متناسقة	neg
غير مريح	neg
في غير محله	neg
غير مبال	neg
مرفوض	neg
غير عقلاني	neg
غير مطيع	neg
غير مضياف	neg
مشوشا	neg
غير آمن	neg
غير مستعد	neg
غير مستحق	neg
غير محدد	neg
غير قابل للتصديق	neg
عاجز	neg
غير ناجح	neg
غير محتمل	neg
غير متوقع	neg
بصورة غير محتملة	neg
غير متحضر	neg
متخلف	neg
غير منتج	neg
متفكك	neg
غير مترابط	neg
غير منسجم	neg
غير متكافئ	neg
غير مكترثة	neg
غير مأمون	neg
غير متطابق	neg
غير فعالة	neg
عدم فعالية	neg
بصورة غير معقولة	neg
غير معقول	neg
غير عادي	neg
زائدة	neg
شىء غير محتشم	neg
غير محتشم	neg
غير دقيق	neg
بشكل غير قانوني	neg
غير مشروع	neg
غير سليم	neg
عدم الأمان	neg
غير مقنع	neg
غير أنيق	neg
لا أناقة به	neg
غير تقليدي	neg
غير إنساني	neg
يعرض للخطر	neg
مهلهل	neg
أغرى	neg
غمض	neg
الإغراق	neg
بشكل حزين	neg
بحزن	neg
غليان	neg
مخطئ	neg
السهو	neg
الغطرسة	neg
بكل وقاحة	neg
مغضب	neg
غضوب	neg
سخط	neg
حزن	neg
غيظ	neg
استاء	neg
غم	neg
هدد	neg
اغتاظ	neg
غضب	neg
تغضب	neg
نفاذ صبر	neg
الحنق	neg
غير مخلص	neg
تضليل	neg
كثيف	neg
مضحك	neg
غير متعود	neg
نزوة	neg
نزوي	neg
غامضة	neg
عجيب	neg
لزج	neg
غرق	neg
قلة خبرة	neg
قليل التجربة	neg
خيانة	neg
الخيانات	neg
يخون	neg
دس	neg
غدار	neg
الهزال	neg
مغفل	neg
سر	neg
حماقة	neg
كسل	neg
غائم	neg
غائب	neg
غامض	neg
وحشي	neg
مغمور	neg
غير معروف	neg
غير مؤكد	neg
غير قابل للتفسير	neg
غير واضح	neg
الغريب	neg
غافل	neg
شارد	neg
شارد الذهن	neg
ساخط	neg
غاضب	neg
غارق	neg
غرقت	neg
غاشم	neg
لامفصلي	neg
عتاب	neg
خلل	neg
لا يرحم	neg
العنصرية	neg
عنصرية	neg
قرب حدوث	neg
بوحشية	neg
ملوث	neg
عقوبة	neg
عقبة	neg
عفوي	neg
من غير تكلف	neg
رائحة نتنة	neg
أبخرة	neg
خيالي	neg
رثاء	neg
خان	neg
شديد	neg
دخان	neg
عطش	neg
الكلبة	neg
عصيان	neg
تمرد	neg
متوتر	neg
عشوائيا	neg
عنيد	neg
العزلة	neg
عزلة	neg
العانس	neg
العنصريين	neg
غير جوهري	neg
عرضي	neg
خطر	neg
عرض	neg
آلم	neg
التعذيب	neg
تعذيب	neg
عديم القيمة	neg
عديم الفائدة	neg
قاسي الفؤاد	neg
متحجر	neg
التعدي	neg
الهرولة	neg
عدم حساسية	neg
عدم صحة	neg
عدم إنتظام	neg
عدم الدقة	neg
اضطراب	neg
بعدم كفاءة	neg
عدم الكفاءة	neg
خلاف	neg
بحسد	neg
إمراة عجوز	neg
متهدم	neg
تعثر	neg
يتعثر	neg
عبودية	neg
تجهم	neg
ممل	neg
عبد	neg
خادم	neg
فوضوي	neg
عبء	neg
النكسات	neg
نكسة	neg
عاهرة	neg
إعاقة	neg
خاشن	neg
فخور	neg
مترفع	neg
قاحل	neg
يعاقب	neg
ناكر للجميل	neg
صاخب	neg
صاخبة	neg
صعب المراس	neg
فضائح	neg
الخجل	neg
سلوك شرير	neg
العيوب	neg
عيوب	neg
عوادم	neg
متسرع	neg
غير قادر	neg
وهم	neg
الأوهام	neg
ظلما	neg
جريمة	neg
اغتصاب	neg
موحل	neg
تهور	neg
بنزق	neg
نزق	neg
تجاوز	neg
حاصر	neg
يطمس	neg
سكين	neg
أناني	neg
التمس	neg
طفولي	neg
توقف تام	neg
جفل	neg
صدت	neg
الهيمنة	neg
طائش	neg
دائخ	neg
طاعون	neg
وباء	neg
أضيق	neg
مشدود	neg
زحام	neg
أزمة	neg
ضمور	neg
باطل	neg
الانحراف	neg
غبي	neg
مخفي	neg
خافت	neg
هزيل	neg
ضعيف	neg
عدم ملائمة	neg
أضعف	neg
عقدة النقص	neg
ضرر	neg
الأذى	neg
أذى	neg
ضربة	neg
طعنة	neg
ضراوة	neg
معاكس	neg
سطحي	neg
سطحية	neg
الضجيج	neg
إثارة	neg
ضبابية	neg
ضبابي	neg
اضطهد	neg
شاذ	neg
غير نافع	neg
أعمى	neg
صرخة	neg
الصرير	neg
غير مسموع	neg
زمجر	neg
ضجيج	neg
بالغ القسوة	neg
صرامة	neg
صقيع	neg
الضربات	neg
لكمة	neg
معضلة	neg
مشكلة	neg
صعق	neg
صدمة	neg
النضال	neg
التضارب	neg
صراع	neg
اصدم	neg
صدم	neg
الصداع	neg
أوجاع الرأس	neg
صخاب	neg
صخب	neg
الضوضاء	neg
صحراء	neg
غير ناضج	neg
فظ	neg
حمى	neg
صارم	neg
المتشدد	neg
المتشددين	neg
متشدد	neg
صارخ	neg
بشكل حاد	neg
المضطرب	neg
صرخ	neg
جهنمي	neg
تافهة	neg
شوه	neg
استبدادية	neg
يشل	neg
شكاك	neg
تشككا	neg
المشاحنات	neg
تعاسة	neg
الشقوق	neg
شقوق	neg
تسد	neg
تلاعب	neg
مشاعل	neg
المنشقين	neg
منشق	neg
شرير	neg
مؤذ	neg
شيطاني	neg
مقرف	neg
توريط	neg
كمين	neg
مشاكس	neg
ذهل	neg
بحدة	neg
عناد	neg
الروائح	neg
جلد	neg
عنيف	neg
نرفز	neg
خوف	neg
جزع	neg
الحزن	neg
شخص متهور	neg
حزين	neg
الجرأة	neg
عاطل عن العمل	neg
مشاكسة	neg
يقذف	neg
عاهر	neg
سراب	neg
معيبة	neg
سيئ السمعة	neg
مخجل	neg
مخجله	neg
مستهجن	neg
جعدة	neg
الخلل	neg
قبح	neg
الانتقادات	neg
ننتقد	neg
على نحو ساحق	neg
مرتاب	neg
متردد	neg
متعب	neg
صعب	neg
غال	neg
باهظ	neg
كبر	neg
باهتة	neg
محزن	neg
سيئة	neg
قبيح	neg
بسرعة	neg
طوفان	neg
سيطرة	neg
عشيقة	neg
انحباس	neg
مبتذل	neg
قدح	neg
الشرور	neg
سوء الفهم	neg
وضع معقد	neg
سوء سلوك	neg
بشراسة	neg
عاصف	neg
إغفال	neg
خطاء	neg
بغفلة	neg
رائحة	neg
منقاد	neg
ابتزاز	neg
نزاهة	neg
مخمور	neg
ثمل المتابعة	neg
مريض	neg
سقيم	neg
اشباع	neg
مرض	neg
سقم	neg
هوت	neg
سقط	neg
تداعى	neg
الحروق	neg
صفاقة	neg
وقاحة	neg
خسة	neg
ضحل	neg
طيش	neg
سرطاني	neg
سرطان	neg
الخفايا	neg
عبثا	neg
هزلي	neg
هزأ	neg
غمز	neg
سحيق	neg
سحب	neg
تغيم	neg
يلعن	neg
الملل	neg
مهمل	neg
ويل	neg
طويل	neg
ملل	neg
فاضح	neg
شخص ساذج	neg
ممتعض	neg
تهكمي	neg
الساحق	neg
غدرا	neg
البرد	neg
سريع الغضب	neg
مات	neg
أخطاء	neg
خطأ	neg
زعزع	neg
مكان قذر	neg
مزدحم	neg
زحف	neg
حثالة المجتمع	neg
مزيف	neg
الكذاب	neg
كذابين	neg
صابوني	neg
زاحف	neg
الرهيبة	neg
رهاب	neg
ممانعة	neg
رفض	neg
قذف	neg
اتهام	neg
ينفث	neg
ملصق	neg
بثرة	neg
غموض	neg
خطير	neg
رعب	neg
رطانة	neg
كدمة	neg
ميت	neg
شاق	neg
شاقة	neg
ينقط	neg
رذيلة	neg
غش	neg
زائف	neg
مغشوش	neg
حقير	neg
هش	neg
رثى	neg
ظن	neg
فظاعة	neg
الفظاعه	neg
رافض	neg
طامع	neg
غبار	neg
راءى	neg
خجول	neg
غيبوبة	neg
زوال	neg
دبر	neg
لوم	neg
تشهير	neg
فحش	neg
العاجز	neg
متذلل	neg
كيس	neg
ضار	neg
الإرهاب	neg
إرهاب	neg
الأعذار	neg
ذبول	neg
ذبل	neg
جزار	neg
منتشر	neg
ذاهل	neg
دوخ	neg
مصاب	neg
مناور	neg
وغد	neg
دنيوي	neg
نجس	neg
الدمى	neg
دمية	neg
تمثال	neg
دموي	neg
بشع	neg
بشاعة	neg
سخن	neg
دعوة للمحكمة	neg
لحوح	neg
دخيلة	neg
تسلل	neg
دخان كثيف	neg
المتلاعبة	neg
المتلاعبين	neg
يخيب	neg
غير عملي	neg
غير ممكن	neg
شبح	neg
الذعر	neg
بالذعر	neg
أرعب	neg
خواء	neg
خضوع	neg
خنوع	neg
خنق	neg
اختنق	neg
الخنازير	neg
خنزير	neg
شبق	neg
شغل البال	neg
خلع	neg
فسق	neg
خلسة	neg
شجار	neg
خلاعة	neg
مجون	neg
وحش	neg
تخفف	neg
أبطأ	neg
تباطأ	neg
إثم	neg
هفوات	neg
الخطورة	neg
المخاطر	neg
سام	neg
عدم دقة	neg
الأخطاء	neg
أخطأ في القراءة	neg
عادي	neg
خصى	neg
مشادة	neg
أعداء	neg
مزاج	neg
الخلافات	neg
خلافي	neg
فقر	neg
خشن	neg
مشخبط	neg
قرقرة	neg
مهين	neg
فضيحة	neg
البلهاء	neg
بجبن	neg
تأسف	neg
يأسف	neg
يدمر	neg
خراب	neg
دمار	neg
خسائر	neg
حيلة	neg
راوغ	neg
قرصة	neg
مكر	neg
دهاء	neg
التضليل	neg
مراوغة	neg
الاحتيال	neg
احتيال	neg
مخادعة	neg
الحيل	neg
طبع في الذهن	neg
خائن	neg
ضلالي	neg
حزانى	neg
خائف	neg
مذعور	neg
الفزاعة	neg
غير ملائم	neg
ذل	neg
خدع	neg
غير فعال	neg
هادئ	neg
عارض	neg
عار	neg
خرق القانون	neg
مس	neg
مكبوح	neg
حذر	neg
احترس	neg
زعق	neg
ذعر	neg
غير مناسب	neg
غير صحيح	neg
عرض للخطر	neg
المهضوم حقه	neg
فاتر	neg
كسلان	neg
عاقب	neg
محارب	neg
ماسة	neg
ارتباك	neg
يحير	neg
أفحم	neg
خجل	neg
الحمى	neg
الخرقاء	neg
غباء	neg
بتفاهه	neg
تفاهة	neg
البله	neg
سخافة	neg
كابوس	neg
جامد	neg
محاكمة	neg
حكم غير عادل	neg
ذميم	neg
تافه	neg
خبث	neg
العداء	neg
عداء	neg
ضغينة	neg
كرهه	neg
قبضة	neg
أطلال	neg
استحواذي	neg
حصانة	neg
التدافع	neg
غيور	neg
غيرة	neg
زعم	neg
مؤسف	neg
حدادي	neg
مكتئب	neg
ابتلى	neg
الحسرة	neg
الكآبة	neg
كرب	neg
أسف	neg
لاذع	neg
محرم	neg
حرمان	neg
حظر	neg
أدنى منزلة	neg
جشع	neg
طمع	neg
مستاء	neg
حربي	neg
قزم	neg
حملق بسخط	neg
صخري	neg
منع	neg
حجب	neg
تحريض	neg
لا فكاك منه	neg
تقييدي	neg
مرير	neg
سجن	neg
أنانية	neg
دكتاتور	neg
دكتاتوري	neg
حاقد	neg
حسود	neg
السجن	neg
حامض	neg
بشكل صارخ	neg
الحواجز	neg
